username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"angular,",0.06779661016949153,93.22033898305084,9,90,77.78%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,6,1.3333333333333335,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",18,210.64062883812332,77.78%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase2,Tue Nov  7 00:39:19 2017,1,3,"Neighborhood Names GIS, Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,jquery,",0.01141552511415525,98.85844748858447,9,90,85.19%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,9,2.0,92.59%,"1.0,1.0,1.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;",22,225.64105618423667,88.89%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,1,0,0,1,1,"bootstrap,d3,",0.026785714285714284,97.32142857142857,6,60,40.74%,"0,1,0,1,1,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,77.78%,0,0.0,0.0%,,10,192.10403726708074,48.15%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,1,1,1,1,"three,",0.02564102564102564,97.43589743589743,6,60,44.44%,"0,0,0,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,33.33%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,33.33%,0,0.0,0.0%,,8,174.82720178372352,37.04%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase2,Tue Nov  7 00:39:19 2017,1,8,"New York State Career Centers, Fire Department Directory for New York State, Air Quality, Required Weather API, New York City Museums, Zillow Home Value Searching API, New York City Farmers Markets, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,materialize,jquery,",0.006153846153846154,99.38461538461539,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,88.89%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,88.89%,16,3.5555555555555554,96.3%,"3.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",31,246.41843180973615,96.3%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333333333332,97.91666666666666,7,70,62.96%,"0,1,1,1,1,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,10,194.00362318840578,55.56%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"d3,jquery,",0.08125,91.875,9,90,74.07%,"0,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,12,207.96195652173913,70.37%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,1,1,1,0,,0.07567567567567568,92.43243243243244,5,50,29.63%,"0,0,0,1,0,1,1,1,0,",4,80,96.3%,"1.0,1.0,1.0,0.0,1.0,",4,22.22222222222222,88.89%,"1.0,1.0,1.0,1.0,0.0,0.0,",8,34.78260869565217,96.3%,0,0.0,0.0%,,13,211.9976498237368,81.48%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"animate,font-awesome,",0.00975609756097561,99.02439024390245,7,70,66.67%,"1,1,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",13,195.77801343230823,59.26%
